# Generated using https://github.com/tstellanova/wmm2015_explorer/
#
# min alt: 1.000000 lat: -90.000000 lon: -180.000000 year: 2019.100000
# max alt: 100.000000 lat: 90.000000 lon: 180.000000 year: 2019.100000 
# step alt: 500.000000 lat: 5.000000 lon: 2.500000 year: 1.000000 
# ===============
# lat_deg, lon_deg, mag_x, mag_y, mag_z 
-85.00,-142.50,	 -3176.064, 15391.732,-54348.623 
-85.00,-140.00,	 -2513.517, 15607.799,-54177.738 
-85.00,-137.50,	 -1843.787, 15795.198,-54002.845 
-85.00,-135.00,	 -1168.040, 15953.702,-53824.253 
-85.00,-132.50,	  -487.447, 16083.131,-53642.289 
-85.00,-130.00,	   196.817, 16183.343,-53457.271 
-85.00,-127.50,	   883.572, 16254.236,-53269.505 
-85.00,-125.00,	  1571.637, 16295.749,-53079.295 
-85.00,-122.50,	  2259.823, 16307.874,-52886.968 
-85.00,-120.00,	  2946.945, 16290.662,-52692.879 
-85.00,-117.50,	  3631.819, 16244.211,-52497.389 
-85.00,-115.00,	  4313.266, 16168.659,-52300.837 
-85.00,-112.50,	  4990.111, 16064.179,-52103.533 
-85.00,-110.00,	  5661.185, 15930.992,-51905.789 
-85.00,-107.50,	  6325.329, 15769.385,-51707.949 
-85.00,-105.00,	  6981.403, 15579.700,-51510.381 
-85.00,-102.50,	  7628.279, 15362.328,-51313.445 
-85.00,-100.00,	  8264.849, 15117.697,-51117.475 
-85.00,-97.50,	  8890.021, 14846.276,-50922.791 
-85.00,-95.00,	  9502.728, 14548.589,-50729.723 
-85.00,-92.50,	 10101.932, 14225.208,-50538.614 
-85.00,-90.00,	 10686.625, 13876.755,-50349.809 
-85.00,-87.50,	 11255.828, 13503.884,-50163.633 
-85.00,-85.00,	 11808.588, 13107.283,-49980.388 
-85.00,-82.50,	 12343.988, 12687.675,-49800.367 
-85.00,-80.00,	 12861.147, 12245.826,-49623.869 
-85.00,-77.50,	 13359.226, 11782.538,-49451.201 
-85.00,-75.00,	 13837.426, 11298.645,-49282.667 
-85.00,-72.50,	 14294.985, 10795.004,-49118.553 
-85.00,-70.00,	 14731.181, 10272.496,-48959.137 
-85.00,-67.50,	 15145.336,  9732.029,-48804.702 
-85.00,-65.00,	 15536.819,  9174.534,-48655.533 
-85.00,-62.50,	 15905.031,  8600.951,-48511.895 
